Beverage Info,Type,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Chol_to_C,Carb_to_C,F_to_C,S_to_C,P_to_C,A_to_C,C_to_C,Ca_to_C,Fe_to_C,Calories from Carbohydrates,Calories from Fiber,Calories from Protein
Brewed Coffee - Tall-SBUX,Hot Coffee (Tall),4,0.1,0.0,0.0,0,0,10,0,0,0,0,0,0,0,0.00%,250.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40,0,0
Brewed Coffee - Grande-SBUX,Hot Coffee (Grande),5,0.1,0.0,0.0,0,0,10,0,0,1,0,0,0,0,0.00%,200.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,40,0,4
Brewed Coffee - Venti-SBUX,Hot Coffee (Venti),5,0.1,0.0,0.0,0,0,10,0,0,1,0,0,2,0,0.00%,200.00%,0.00%,0.00%,20.00%,0.00%,0.00%,40.00%,0.00%,40,0,4
Caffè Latte - 2% Milk-SBUX,,100,3.5,0.1,2.0,10,15,85,0,9,6,10,0,20,0,10.00%,85.00%,0.00%,9.00%,6.00%,10.00%,0.00%,20.00%,0.00%,340,0,24
Caffè Latte - Tall Nonfat Milk-SBUX,,100,0.2,0.0,0.2,15,5,120,0,14,10,15,0,30,0,15.00%,120.00%,0.00%,14.00%,10.00%,15.00%,0.00%,30.00%,0.00%,480,0,40
Caffè Latte - 2% Milk-SBUX,,150,6.0,0.2,3.0,15,25,135,0,14,10,15,0,30,0,10.00%,90.00%,0.00%,9.33%,6.67%,10.00%,0.00%,20.00%,0.00%,540,0,40
Caffè Latte - Grande Nonfat Milk-SBUX,,130,0.3,0.0,0.2,19,5,150,0,18,13,20,0,40,0,14.62%,115.38%,0.00%,13.85%,10.00%,15.38%,0.00%,30.77%,0.00%,600,0,52
Caffè Latte - 2% Milk-SBUX,,190,7.0,0.2,3.5,19,30,170,0,17,12,20,2,40,0,10.00%,89.47%,0.00%,8.95%,6.32%,10.53%,1.05%,21.05%,0.00%,680,0,48
Caffè Latte - Venti Nonfat Milk-SBUX,,170,0.4,0.0,0.3,25,10,190,0,23,16,30,0,50,0,14.71%,111.76%,0.00%,13.53%,9.41%,17.65%,0.00%,29.41%,0.00%,760,0,64
Caffè Latte - 2% Milk-SBUX,,240,9.0,0.3,4.5,24,35,220,0,22,16,25,2,50,0,10.00%,91.67%,0.00%,9.17%,6.67%,10.42%,0.83%,20.83%,0.00%,880,0,64
Caffè Mocha (Without Whipped Cream) - 2% Milk-SBUX,,130,4.0,0.1,2.0,21,10,70,1,17,6,8,0,15,10,16.15%,53.85%,0.77%,13.08%,4.62%,6.15%,0.00%,11.54%,7.69%,280,2,24
Caffè Mocha (Without Whipped Cream) - Tall Nonfat Milk-SBUX,,170,2.0,0.0,1.0,32,5,100,1,27,10,15,0,25,20,18.82%,58.82%,0.59%,15.88%,5.88%,8.82%,0.00%,14.71%,11.76%,400,2,40
Caffè Mocha (Without Whipped Cream) - 2% Milk-SBUX,,200,6.0,0.1,3.5,32,20,115,1,26,10,15,0,25,20,16.00%,57.50%,0.50%,13.00%,5.00%,7.50%,0.00%,12.50%,10.00%,460,2,40
Caffè Mocha (Without Whipped Cream) - Grande Nonfat Milk-SBUX,,220,2.5,0.0,1.5,43,5,125,2,34,13,20,0,35,25,19.55%,56.82%,0.91%,15.45%,5.91%,9.09%,0.00%,15.91%,11.36%,500,4,52
Caffè Mocha (Without Whipped Cream) - 2% Milk-SBUX,,260,8.0,0.2,4.5,42,25,140,2,34,13,15,2,35,25,16.15%,53.85%,0.77%,13.08%,5.00%,5.77%,0.77%,13.46%,9.62%,560,4,52
Caffè Mocha (Without Whipped Cream) - Venti Nonfat Milk-SBUX,,280,3.0,0.0,2.0,54,10,160,2,44,17,25,0,45,30,19.29%,57.14%,0.71%,15.71%,6.07%,8.93%,0.00%,16.07%,10.71%,640,4,68
Caffè Mocha (Without Whipped Cream) - 2% Milk-SBUX,,340,11.0,0.2,6.0,53,30,180,2,43,17,20,2,45,30,15.59%,52.94%,0.59%,12.65%,5.00%,5.88%,0.59%,13.24%,8.82%,720,4,68
Vanilla Latte (Or Other Flavoured Latte) - 2% Milk-SBUX,,130,3.5,0.1,1.5,18,15,80,0,17,6,10,0,20,0,13.85%,61.54%,0.00%,13.08%,4.62%,7.69%,0.00%,15.38%,0.00%,320,0,24
Vanilla Latte (Or Other Flavoured Latte) - Tall Nonfat Milk-SBUX,Nonfat Vanilla Latte (Tall),150,0.2,0.0,0.1,28,5,110,0,27,9,15,0,30,0,18.67%,73.33%,0.00%,18.00%,6.00%,10.00%,0.00%,20.00%,0.00%,440,0,36
Vanilla Latte (Or Other Flavoured Latte) - 2% Milk-SBUX,,200,5.0,0.2,2.5,28,20,125,0,27,9,15,0,30,0,14.00%,62.50%,0.00%,13.50%,4.50%,7.50%,0.00%,15.00%,0.00%,500,0,36
Vanilla Latte (Or Other Flavoured Latte) - Grande Nonfat Milk-SBUX,Nonfat Vanilla Latte (Grande),200,0.3,0.0,0.2,37,5,140,0,35,12,20,0,35,0,18.50%,70.00%,0.00%,17.50%,6.00%,10.00%,0.00%,17.50%,0.00%,560,0,48
Vanilla Latte (Or Other Flavoured Latte) - 2% Milk-SBUX,,250,6.0,0.2,3.5,37,25,150,0,35,12,20,2,35,0,14.80%,60.00%,0.00%,14.00%,4.80%,8.00%,0.80%,14.00%,0.00%,600,0,48
Vanilla Latte (Or Other Flavoured Latte) - Venti Nonfat Milk-SBUX,Nonfat Vanilla Latte (Venti),250,0.3,0.0,0.2,47,10,180,0,45,15,25,0,50,0,18.80%,72.00%,0.00%,18.00%,6.00%,10.00%,0.00%,20.00%,0.00%,720,0,60
Vanilla Latte (Or Other Flavoured Latte) - 2% Milk-SBUX,,320,9.0,0.3,4.5,46,35,200,0,44,15,25,2,45,0,14.37%,62.50%,0.00%,13.75%,4.69%,7.81%,0.62%,14.06%,0.00%,800,0,60
Skinny Latte (Any Flavour) - Tall Nonfat Milk-SBUX,Skinny Nonfat Vanilla Latte (Tall),100,0.2,0.0,0.1,14,5,125,0,13,9,15,0,30,0,14.00%,125.00%,0.00%,13.00%,9.00%,15.00%,0.00%,30.00%,0.00%,500,0,36
Skinny Latte (Any Flavour) - Grande Nonfat Milk-SBUX,Skinny Nonfat Vanilla Latte (Grande),120,0.3,0.0,0.2,18,5,160,0,16,12,20,0,35,0,15.00%,133.33%,0.00%,13.33%,10.00%,16.67%,0.00%,29.17%,0.00%,640,0,48
Skinny Latte (Any Flavour) - Venti Nonfat Milk-SBUX,Skinny Nonfat Vanilla Latte (Venti),160,0.3,0.0,0.2,24,10,200,0,21,15,25,0,50,0,15.00%,125.00%,0.00%,13.12%,9.38%,15.62%,0.00%,31.25%,0.00%,800,0,60
Caramel Macchiato - 2% Milk-SBUX,,120,4.0,0.1,2.0,16,15,80,0,15,5,10,0,15,0,13.33%,66.67%,0.00%,12.50%,4.17%,8.33%,0.00%,12.50%,0.00%,320,0,20
Caramel Macchiato - Tall Nonfat Milk-SBUX,,140,1.0,0.0,0.5,25,5,105,0,24,8,15,0,25,0,17.86%,75.00%,0.00%,17.14%,5.71%,10.71%,0.00%,17.86%,0.00%,420,0,32
Caramel Macchiato - 2% Milk-SBUX,,180,5.0,0.1,3.0,25,20,115,0,23,8,15,0,25,0,13.89%,63.89%,0.00%,12.78%,4.44%,8.33%,0.00%,13.89%,0.00%,460,0,32
